Data;"IBRX
IBRX BRASIL INDICE"
03/2026;77.728,00
02/2026;79.784,00
01/2026;76.632,00
12/2025;68.017,00
11/2025;67.220,00
10/2025;63.156,00
09/2025;61.858,00
08/2025;59.782,00
07/2025;56.276,00
06/2025;58.731,00
05/2025;57.939,00
04/2025;56.969,00
03/2025;55.131,00
02/2025;52.039,00
01/2025;53.473,00
12/2024;50.967,00
11/2024;53.303,00
10/2024;54.900,00
09/2024;55.754,00
08/2024;57.461,00
07/2024;53.906,00
06/2024;52.388,00
05/2024;51.611,00
04/2024;53.304,00
03/2024;54.026,00
02/2024;54.423,00
01/2024;53.905,00
12/2023;56.449,00
11/2023;53.515,00
10/2023;47.621,00
09/2023;49.108,00
08/2023;48.697,00
07/2023;51.263,00
06/2023;49.616,00
05/2023;45.575,00
04/2023;43.994,00
03/2023;43.160,00
02/2023;44.526,00
01/2023;48.181,00
12/2022;46.546,00
11/2022;47.801,00
10/2022;49.334,00
09/2022;46.730,00
08/2022;46.753,00
07/2022;44.044,00
06/2022;42.188,00
05/2022;47.705,00
04/2022;46.211,00
03/2022;51.410,00
02/2022;48.520,00
01/2022;47.822,00
12/2021;44.749,00
11/2021;43.387,00
10/2021;44.133,00
09/2021;47.360,00
08/2021;50.920,00
07/2021;52.632,00
06/2021;54.822,00
05/2021;54.478,00
04/2021;51.432,00
03/2021;50.014,00
02/2021;47.167,00
01/2021;48.854,00
12/2020;50.379,00
11/2020;46.155,00
10/2020;39.975,00
09/2020;40.195,00
08/2020;42.125,00
07/2020;43.596,00
06/2020;40.213,00
05/2020;36.903,00
04/2020;34.006,00
03/2020;30.840,00
02/2020;44.113,00
01/2020;48.065,00
12/2019;48.675,00
11/2019;45.374,00
10/2019;44.939,00
09/2019;43.971,00
08/2019;42.602,00
07/2019;42.672,00
06/2019;42.180,00
05/2019;40.519,00
04/2019;40.062,00
03/2019;39.643,00
02/2019;39.688,00
01/2019;40.400,00
12/2018;36.491,00
11/2018;36.967,00
10/2018;36.009,00
09/2018;32.611,00
08/2018;31.591,00
07/2018;32.610,00
06/2018;29.962,00
05/2018;31.604,00
04/2018;35.474,00
03/2018;35.186,00
02/2018;35.158,00
01/2018;35.012,00
12/2017;31.616,00
11/2017;29.729,00
10/2017;30.768,00
09/2017;30.808,00
08/2017;29.427,00
07/2017;27.413,00
06/2017;26.130,00
05/2017;26.052,00
04/2017;27.041,00
03/2017;26.806,00
02/2017;27.452,00
01/2017;26.574,00
12/2016;24.788,00
11/2016;25.437,00
10/2016;26.776,00
09/2016;24.176,00
08/2016;24.031,00
07/2016;23.765,00
06/2016;21.350,00
05/2016;20.051,00
04/2016;22.133,00
03/2016;20.658,00
02/2016;17.899,00
01/2016;16.999,00
12/2015;18.133,00
11/2015;18.848,00
10/2015;19.166,00
09/2015;18.909,00
08/2015;19.515,00
07/2015;21.270,00
06/2015;22.028,00
05/2015;21.861,00
04/2015;23.126,00
03/2015;21.194,00
02/2015;21.302,00
01/2015;19.485,00
12/2014;20.702,00
11/2014;22.567,00
10/2014;22.497,00
09/2014;22.286,00
08/2014;25.110,00
07/2014;22.913,00
06/2014;21.934,00
05/2014;21.167,00
04/2014;21.406,00
03/2014;20.841,00
02/2014;19.497,00
01/2014;19.559,00
12/2013;21.294,00
11/2013;21.970,00
10/2013;22.422,00
09/2013;21.281,00
08/2013;20.272,00
07/2013;19.900,00
06/2013;19.560,00
05/2013;21.510,00
04/2013;21.700,00
03/2013;21.531,00
02/2013;21.395,00
01/2013;22.032,00
12/2012;21.982,00
11/2012;20.980,00
10/2012;20.741,00
09/2012;20.965,00
08/2012;20.397,00
07/2012;20.428,00
06/2012;19.813,00
05/2012;19.640,00
04/2012;21.489,00
03/2012;22.035,00
02/2012;22.086,00
01/2012;21.267,00
12/2011;19.706,00
11/2011;19.410,00
10/2011;19.618,00
09/2011;18.025,00
08/2011;18.884,00
07/2011;19.705,00
06/2011;20.745,00
05/2011;21.071,00
04/2011;21.561,00
03/2011;22.385,00
02/2011;21.891,00
01/2011;21.462,00
12/2010;22.239,00
11/2010;21.494,00
10/2010;22.218,00
09/2010;21.852,00
08/2010;20.435,00
07/2010;21.151,00
06/2010;19.055,00
05/2010;19.997,00
04/2010;21.270,00
03/2010;22.088,00
02/2010;20.994,00
01/2010;20.758,00
12/2009;21.672,00
11/2009;21.304,00
10/2009;19.642,00
09/2009;19.573,00
08/2009;17.823,00
07/2009;17.489,00
06/2009;16.660,00
05/2009;17.349,00
04/2009;15.626,00
03/2009;13.807,00
02/2009;12.856,00
01/2009;12.979,00
12/2008;12.539,00
11/2008;12.102,00
10/2008;12.381,00
09/2008;16.532,00
08/2008;18.231,00
07/2008;19.366,00
06/2008;21.694,00
05/2008;24.080,00
04/2008;22.451,00
03/2008;20.077,00
02/2008;21.034,00
01/2008;19.670,00
12/2007;21.534,00
11/2007;21.016,00
10/2007;21.614,00
09/2007;19.879,00
08/2007;17.866,00
07/2007;17.697,00
06/2007;17.492,00
05/2007;16.809,00
04/2007;15.788,00
03/2007;14.922,00
02/2007;14.313,00
01/2007;14.703,00
12/2006;14.567,00
11/2006;13.624,00
10/2006;12.688,00
09/2006;11.845,00
08/2006;11.846,00
07/2006;12.028,00
06/2006;11.830,00
05/2006;11.878,00
04/2006;12.836,00
03/2006;12.171,00
02/2006;12.525,00
01/2006;12.669,00
12/2005;10.706,00
11/2005;10.195,00
10/2005;9.566,00
09/2005;9.981,00
08/2005;8.915,00
07/2005;8.114,00
06/2005;7.765,00
05/2005;7.612,00
04/2005;7.493,00
03/2005;8.117,00
02/2005;8.606,00
01/2005;7.488,00
12/2004;7.796,00
11/2004;7.240,00
10/2004;6.861,00
09/2004;6.719,00
08/2004;6.347,00
07/2004;6.104,00
06/2004;5.791,00
05/2004;5.480,00
04/2004;5.283,00
03/2004;6.077,00
02/2004;6.041,00
01/2004;5.875,00
12/2003;6.004,00
11/2003;5.218,00
10/2003;4.774,00
09/2003;4.409,00
08/2003;4.361,00
07/2003;3.938,00
06/2003;3.648,00
05/2003;3.745,00
04/2003;3.554,00
03/2003;3.368,00
02/2003;3.152,00
01/2003;3.250,00
12/2002;3.364,00
11/2002;3.167,00
10/2002;3.124,00
09/2002;2.640,00
08/2002;2.935,00
07/2002;2.819,00
06/2002;3.134,00
05/2002;3.404,00
04/2002;3.430,00
03/2002;3.404,00
02/2002;3.440,00
01/2002;3.089,00
12/2001;3.182,00
11/2001;3.030,17
10/2001;2.830,81
09/2001;2.665,64
08/2001;3.113,23
07/2001;3.260,91
06/2001;3.368,37
05/2001;3.418,81
04/2001;3.358,95
03/2001;3.197,23
02/2001;3.410,22
01/2001;3.683,92
12/2000;3.211,76
11/2000;2.828,69
10/2000;3.080,34
09/2000;3.249,19
08/2000;3.442,30
07/2000;3.226,32
06/2000;3.282,30
05/2000;2.894,71
04/2000;2.959,84
03/2000;3.349,99
02/2000;3.280,22
01/2000;3.117,78
12/1999;3.238,35
11/1999;2.639,54
10/1999;2.273,94
09/1999;2.148,70
08/1999;2.018,02
07/1999;1.990,28
06/1999;2.151,12
05/1999;2.056,95
04/1999;2.065,03
03/1999;1.918,31
02/1999;1.617,21
01/1999;1.492,77
12/1998;1.275,13
11/1998;1.573,08
10/1998;1.298,15
09/1998;1.229,51
08/1998;1.246,25
07/1998;2.042,38
06/1998;1.849,24
05/1998;1.937,43
04/1998;2.301,69
03/1998;2.317,67
02/1998;2.063,93
01/1998;1.915,99
12/1997;2.049,68
11/1997;1.889,52
10/1997;1.826,11
09/1997;2.416,03
08/1997;2.191,97
07/1997;2.577,36
06/1997;2.476,04
05/1997;2.232,51
04/1997;2.040,10
03/1997;1.889,89
02/1997;1.904,12
01/1997;1.723,54
12/1996;1.540,83
11/1996;1.429,82
10/1996;1.420,54
09/1996;1.380,92
08/1996;1.353,69
07/1996;1.317,65
06/1996;1.324,76
05/1996;1.262,51
04/1996;1.151,78
03/1996;1.127,23
02/1996;1.134,71
01/1996;1.181,07
12/1995;1.000,00
11/1995;1.010,23
10/1995;1.000,33
09/1995;1.102,27
08/1995;1.086,25
07/1995;995,36
06/1995;924,85
05/1995;960,36
04/1995;969,75
03/1995;801,07
02/1995;871,39
01/1995;997,51
12/1994;1.092,52
;
